Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-920.5893	-1060.834	140.2447	1.584541	7.072469	0.2928854	0.7983085
6	-918.1256	-1058.622	140.4965	1.584165	6.289438	0.3051131	0.6117389
12	-936.316	-1076.001	139.6851	1.086597	8.147324	0.2058638	1.718148
18	-933.767	-1072.985	139.2184	0.8851806	9.962282	0.3009358	1.794169
24	-925.6241	-1065.466	139.8419	1.448394	11.05213	0.2269565	0.8217155
30	-918.9056	-1058.81	139.9042	1.231508	11.05213	0.2269565	0.9943094
36	-919.9834	-1059.646	139.6623	1.373276	11.05213	0.2829426	0.9483012
42	-923.286	-1063.546	140.2605	1.311077	6.673062	0.3479093	1.041858
48	-927.6273	-1067.452	139.8252	1.278074	10.106	0.2328351	1.143506
54	-917.7606	-1057.781	140.0203	1.388451	9.07254	0.1521093	1.239387
60	-916.7867	-1056.786	139.9993	1.405822	9.380139	0.2484809	0.9229669
66	-911.6951	-1051.317	139.6224	1.314909	12.82734	0.1775587	1.094342
72	-906.9886	-1047.351	140.3624	1.48785	5.497955	0.3794036	0.9799666
78	-905.814	-1046.434	140.6203	1.48785	4.575005	0.3794036	0.9799666
84	-905.1675	-1045.76	140.5929	1.48785	4.666645	0.3794036	0.9799666
90	-900.9905	-1041.48	140.4895	1.48785	5.025648	0.3794036	0.9799666
96	-902.1052	-1042.545	140.44	1.48785	5.205424	0.3794036	0.9799666
102	-909.1643	-1049.851	140.687	1.48785	4.358254	0.3794036	0.9799666
108	-907.2623	-1047.601	140.3387	1.48785	5.590163	0.3794036	0.9799666
114	-909.6094	-1049.661	140.0517	1.48785	6.80916	0.3794036	0.9799666
120	-911.7386	-1051.869	140.1305	1.48785	6.454328	0.3794036	0.9799666
126	-909.9081	-1050.266	140.358	1.48785	5.51515	0.3794036	0.9799666
132	-911.3117	-1051.621	140.3096	1.48785	5.704787	0.3794036	0.9799666
138	-904.9171	-1045.293	140.3758	1.48785	5.446718	0.3794036	0.9799666
144	-907.1311	-1047.04	139.9091	1.48785	7.491971	0.3794036	0.9799666
150	-900.9445	-1041.537	140.5922	1.48785	4.668711	0.3794036	0.9799666
156	-908.2307	-1049.044	140.8133	1.48785	3.970657	0.3794036	0.9799666
162	-905.7633	-1045.923	140.1598	1.48785	6.326201	0.3794036	0.9799666
168	-910.0492	-1050.209	140.1598	1.48785	6.326201	0.3794036	0.9799666
174	-912.8779	-1053.892	141.0141	1.48785	3.412699	0.3794036	0.9799666
180	-913.7116	-1054.048	140.3361	1.48785	5.600337	0.3794036	0.9799666
186	-915.313	-1055.944	140.6308	1.48785	4.540099	0.3794036	0.9799666
